Variance,Skewness,Curtosis,Entropy,Class,Color
2.6718,5.6574,0.72974,-1.4892,0.0,green
-0.49948,1.7734,-2.2469,-0.68104,1.0,red
-1.7064,3.3088,-2.2829,-2.1978,1.0,red
0.88444,6.5906,0.55837,-0.44182,0.0,green
-4.7331,-6.1789,11.388,-1.0741,1.0,red
3.4985,3.1639,0.22677,-0.1651,0.0,green
-1.6386,3.3584,-1.7302,-3.5646,1.0,red
-6.1536,7.9295,0.61663,-3.2646,1.0,red
4.6014,5.6264,-2.1235,0.19309,0.0,green
3.9362,10.1622,-3.8235,-4.0172,0.0,green
0.14783,7.946,1.0742,-3.3409,0.0,green
-2.5899,-0.3911,0.93452,0.42972,1.0,red
1.0652,8.3682,-1.4004,-1.6509,0.0,green
-1.3414,-2.0776,2.8093,0.60688,1.0,red
-3.8894,-7.8322,9.8208,0.47498,1.0,red
-2.0631,-1.5147,1.219,0.44524,1.0,red
-4.211,-12.4736,14.9704,-1.3884,1.0,red
-3.793,-12.7095,12.7957,-2.825,1.0,red
4.616,10.1788,-4.2185,-4.4245,0.0,green
0.65497,5.1815,1.0673,-0.42113,0.0,green
2.0139,6.1416,0.37929,0.56938,0.0,green
-0.8172,3.3812,-3.6684,-3.456,1.0,red
0.54777,10.3754,-1.5435,-4.1633,0.0,green
1.3114,4.5462,2.2935,0.22541,0.0,green
-1.8782,-6.5865,4.8486,-0.021566,1.0,red
-0.53072,-0.097265,-0.21793,1.0426,1.0,red
5.3063,5.2684,-2.8904,-0.52716,0.0,green
0.3292,-4.4552,4.5718,-0.9888,0.0,green
0.86816,10.2429,-1.4912,-4.0082,0.0,green
-2.0545,-10.8679,9.4926,-1.4116,1.0,red
1.0284,9.767,-1.3687,-1.7853,0.0,green
-2.2804,-0.30626,1.3347,1.3763,1.0,red
4.2969,7.617,-2.3874,-0.96164,0.0,green
0.5706,-0.0248,1.2421,-0.5621,0.0,green
-2.2482,3.0915,-2.3969,-2.6711,1.0,red
3.7831,10.0526,-3.8869,-3.7366,0.0,green
3.2351,9.647,-3.2074,-2.5948,0.0,green
-2.456,-0.24418,1.4041,-0.45863,1.0,red
0.83625,1.1071,-2.4706,-0.062945,1.0,red
-6.7526,8.8172,-0.061983,-3.725,1.0,red
-2.8957,-12.0205,11.9149,-2.7552,1.0,red
5.1129,-0.49871,0.62863,1.1189,0.0,green
-1.9423,0.3766,-1.2898,-0.82458,1.0,red
-2.2811,-0.85669,2.7185,0.044382,1.0,red
-2.5701,-6.8452,8.9999,2.1353,1.0,red
1.7331,3.9544,-4.7412,-2.5017,1.0,red
-2.3361,11.9604,3.0835,-5.4435,0.0,green
0.92703,9.4318,-0.66263,-1.6728,0.0,green
-1.749,-6.332,6.0987,0.14266,1.0,red
4.2188,6.8162,-1.2804,0.76076,0.0,green
0.33565,6.8369,0.69718,-0.55691,0.0,green
-3.0201,-0.67253,2.7056,0.85774,1.0,red
-3.2238,2.7935,0.32274,-0.86078,1.0,red
1.1644,3.8095,-4.9408,-4.0909,1.0,red
1.2138,8.7986,-2.1672,-0.74182,0.0,green
-1.8219,-6.8824,5.4681,0.057313,1.0,red
3.4805,9.7008,-3.7541,-3.4379,0.0,green
4.1038,-4.8069,3.3491,-0.49225,0.0,green
4.0446,11.1741,-4.3582,-4.7401,0.0,green
3.9899,-2.7066,2.3946,0.86291,0.0,green
