Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,159.81,160.1,157.87,159.54,2640800,139.07,0.0,139.07,139.07
2016-01-05,2016,1,5,Tuesday,01,2016-01,160.17,161.23,159.45,159.93,2127700,139.41,0.0024444965966310406,139.24,139.24
2016-01-06,2016,1,6,Wednesday,01,2016-01,158.36,159.8,157.63,158.45,2033400,138.12,-0.00925384860130607,138.86666666666667,138.86666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,154.85,157.06,153.55,154.82,3826000,134.96,-0.022909757114440654,137.89,137.89
2016-01-08,2016,1,8,Friday,01,2016-01,155.28,155.3,151.81,152.11,3156200,132.6,-0.017504039989593823,136.832,136.832
2016-01-11,2016,1,11,Monday,02,2016-02,152.3,155.96,152.12,154.72,2164500,134.87,0.017158804094370428,136.505,136.505
2016-01-12,2016,1,12,Tuesday,02,2016-02,155.71,156.43,154.94,156.06,2215600,136.04,0.008660377638126437,136.4385714285714,136.4385714285714
2016-01-13,2016,1,13,Wednesday,02,2016-02,155.97,156.02,151.88,152.12,2157500,132.61,-0.025246479742113248,135.96,135.96
2016-01-14,2016,1,14,Thursday,02,2016-02,151.96,154.16,151.33,153.18,2281500,133.53,0.006967875326191253,135.69,135.69
2016-01-15,2016,1,15,Friday,02,2016-02,149.29,151.52,148.25,150.39,2975400,131.1,-0.018213330395767002,135.231,135.231
2016-01-19,2016,1,19,Tuesday,03,2016-03,151.79,152.0,149.58,150.47,2242600,131.17,0.0005316806847786015,134.8618181818182,134.8618181818182
2016-01-20,2016,1,20,Wednesday,03,2016-03,148.46,150.0,144.91,148.82,3796800,129.73,-0.01096555439496405,134.43416666666667,134.43416666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,148.97,151.24,148.11,150.38,2211800,131.09,0.010482679871826717,134.17692307692306,134.17692307692306
2016-01-22,2016,1,22,Friday,03,2016-03,152.18,153.71,151.65,153.69,2544100,133.97,0.02201057565476261,134.16214285714287,134.16214285714287
2016-01-25,2016,1,25,Monday,04,2016-04,154.07,154.48,150.55,150.78,1820600,131.44,-0.018933853719516724,133.61714285714285,133.98066666666668
2016-01-26,2016,1,26,Tuesday,04,2016-04,150.78,151.72,148.3,148.5,2828600,129.45,-0.015121598754757382,132.90571428571428,133.6975
2016-01-27,2016,1,27,Wednesday,04,2016-04,149.29,149.59,146.72,147.73,2189500,128.78,-0.005185387229644567,132.23857142857145,133.40823529411765
2016-01-28,2016,1,28,Thursday,04,2016-04,148.55,149.97,147.81,149.59,2076100,130.4,0.012590796047754038,131.91285714285715,133.2411111111111
2016-01-29,2016,1,29,Friday,04,2016-04,149.5,151.62,146.91,151.12,3221300,131.73,0.010227922824918023,131.85071428571428,133.16157894736844
2016-02-01,2016,2,1,Monday,05,2016-05,150.84,152.19,150.19,151.25,2142000,131.85,0.0008601551707880795,131.635,133.096
2016-02-02,2016,2,2,Tuesday,05,2016-05,149.99,150.79,148.11,148.5,1931400,129.45,-0.018181750847611422,131.1642857142857,132.92238095238093
2016-02-03,2016,2,3,Wednesday,05,2016-05,149.28,149.98,145.45,146.7,2546900,127.88,-0.012121613249394647,130.82642857142858,132.6931818181818
2016-02-04,2016,2,4,Thursday,05,2016-05,145.0,145.14,141.79,143.28,5340500,124.9,-0.023312357841199782,130.20999999999998,132.35434782608695
2016-02-05,2016,2,5,Friday,05,2016-05,143.27,145.2,142.4,143.99,4079300,125.52,0.004955264447733754,129.81142857142856,132.06958333333333
2016-02-08,2016,2,8,Monday,06,2016-06,142.74,147.55,141.62,147.02,3782000,128.16,0.021043163521698327,129.59642857142856,131.9132
2016-02-09,2016,2,9,Tuesday,06,2016-06,146.24,149.72,146.23,147.94,3228300,128.96,0.006257576706450996,129.54142857142855,131.79961538461538
2016-02-10,2016,2,10,Wednesday,06,2016-06,149.37,150.17,147.58,148.05,2189600,129.41,0.003456600694585754,129.42142857142858,131.7111111111111
2016-02-11,2016,2,11,Thursday,06,2016-06,147.13,148.39,144.76,146.65,2198100,128.18,-0.009456105328816466,129.00785714285715,131.585
2016-02-12,2016,2,12,Friday,06,2016-06,147.98,149.27,147.0,148.65,1951800,129.93,0.013637834297581364,128.9,131.52793103448275
2016-02-16,2016,2,16,Tuesday,07,2016-07,149.35,150.64,147.7,149.11,2186400,130.33,0.003094216593517496,128.96285714285713,131.488
2016-02-17,2016,2,17,Wednesday,07,2016-07,149.75,151.98,148.91,150.91,2174600,131.91,0.012071758545160627,129.18642857142856,131.5016129032258
